table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico:  April 1, 2010 to July 1, 2011",,,,
Geographic Area,"April 1, 2010",,Population Estimates (as of July 1),
,Census,Estimates Base,2010,2011
United States,308745538,308745538,309330219,311591917
Northeast,55317240,55317244,55366108,55521598
Midwest,66927001,66926987,66976458,67158835
South,114555744,114555757,114857529,116046736
West,71945553,71945550,72130124,72864748
.Alabama,4779736,4779735,4785401,4802740
.Alaska,710231,710231,714146,722718
.Arizona,6392017,6392013,6413158,6482505
.Arkansas,2915918,2915921,2921588,2937979
.California,37253956,37253956,37338198,37691912
.Colorado,5029196,5029196,5047692,5116796
.Connecticut,3574097,3574097,3575498,3580709
.Delaware,897934,897934,899792,907135
.District of Columbia,601723,601723,604912,617996
.Florida,18801310,18801311,18838613,19057542
.Georgia,9687653,9687660,9712157,9815210
.Hawaii,1360301,1360301,1363359,1374810
.Idaho,1567582,1567582,1571102,1584985
.Illinois,12830632,12830632,12841980,12869257
.Indiana,6483802,6483800,6490622,6516922
.Iowa,3046355,3046350,3050202,3062309
.Kansas,2853118,2853118,2859143,2871238
.Kentucky,4339367,4339362,4347223,4369356
.Louisiana,4533372,4533372,4545343,4574836
.Maine,1328361,1328361,1327379,1328188
.Maryland,5773552,5773552,5785681,5828289
.Massachusetts,6547629,6547629,6555466,6587536
.Michigan,9883640,9883635,9877143,9876187
.Minnesota,5303925,5303925,5310658,5344861
.Mississippi,2967297,2967297,2970072,2978512
.Missouri,5988927,5988927,5995715,6010688
.Montana,989415,989415,990958,998199
.Nebraska,1826341,1826341,1830141,1842641
.Nevada,2700551,2700551,2704283,2723322
.New Hampshire,1316470,1316472,1316807,1318194
.New Jersey,8791894,8791894,8799593,8821155
.New Mexico,2059179,2059180,2065913,2082224
.New York,19378102,19378104,19395206,19465197
.North Carolina,9535483,9535475,9560234,9656401
.North Dakota,672591,672591,674629,683932
.Ohio,11536504,11536502,11537968,11544951
.Oklahoma,3751351,3751354,3760184,3791508
.Oregon,3831074,3831074,3838332,3871859
.Pennsylvania,12702379,12702379,12717722,12742886
.Rhode Island,1052567,1052567,1052528,1051302
.South Carolina,4625364,4625364,4637106,4679230
.South Dakota,814180,814180,816598,824082
.Tennessee,6346105,6346110,6357436,6403353
.Texas,25145561,25145561,25253466,25674681
.Utah,2763885,2763885,2775479,2817222
.Vermont,625741,625741,625909,626431
.Virginia,8001024,8001030,8023953,8096604
.Washington,6724540,6724540,6742950,6830038
.West Virginia,1852994,1852996,1854368,1855364
.Wisconsin,5686986,5686986,5691659,5711767
.Wyoming,563626,563626,564554,568158
,,,,
Puerto Rico,3725789,3725789,3721978,3706690
"Note: The April 1, 2010 Population Estimates base reflects changes to the Census 2010 population from geographic program revisions.  It does not reflect changes from the Count Question Resolution program.  See Geographic Terms and Definitions at http://www.census.gov/popest/about/geo/terms.html for a list of the states that are included in each region.",,,,
Suggested Citation:,,,,
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2011 (NST-EST2011-01)",,,,
"Source: U.S. Census Bureau, Population Division",,,,
Release Date: December 2011,,,,
